ID,Age,Gender,Occupation,Phone Type,Current Bike,Relationship,Response
1,53,Male ,Professional,Average,180 to 220,Complicated,Not purchased
2,27,Female,Self Employed,Low End,No Bike,Single,Purchased
3,39,Female,Unemployed,Average,180 to 220,Married,Not purchased
4,20,Female,Unemployed,High End,No Bike,Married,Not purchased
5,29,Male ,Student,Average,180 to 220,Complicated,Purchased
6,54,Female,Self Employed,Low End,No Bike,Committed,Not purchased
7,47,Male ,Unemployed,Low End,220 and Above,Complicated,Purchased
8,44,Female,Unemployed,High End,125 to 180,Complicated,Not purchased
9,38,Male ,Professional,Average,Below 125,Married,Purchased
10,24,Female,Self Employed,High End,220 and Above,Complicated,Not purchased
11,38,Female,Unemployed,Low End,180 to 220,Complicated,Not purchased
12,23,Female,Self Employed,Low End,220 and Above,Committed,Not purchased
13,45,Female,Unemployed,Average,125 to 180,Complicated,Not purchased
14,34,Female,Student,Average,Below 125,Single,Purchased
15,46,Male ,Professional,Low End,125 to 180,Married,Purchased
16,44,Male ,Self Employed,High End,125 to 180,Single,Not purchased
17,54,Female,Professional,High End,Below 125,Married,Not purchased
18,51,Male ,Unemployed,Average,125 to 180,Single,Purchased
19,25,Female,Self Employed,Average,Below 125,Single,Purchased
20,47,Male ,Professional,High End,220 and Above,Committed,Purchased
21,50,Male ,Student,Average,180 to 220,Complicated,Not purchased
22,19,Male ,Unemployed,High End,Below 125,Committed,Not purchased
23,47,Female,Self Employed,Average,220 and Above,Single,Not purchased
24,23,Female,Unemployed,Low End,220 and Above,Single,Purchased
25,42,Male ,Self Employed,High End,220 and Above,Married,Purchased
26,54,Female,Professional,Average,Below 125,Married,Not purchased
27,31,Male ,Unemployed,Low End,Below 125,Single,Not purchased
28,24,Male ,Unemployed,High End,125 to 180,Complicated,Not purchased
29,21,Female,Student,Average,Below 125,Married,Not purchased
30,31,Female,Self Employed,Low End,180 to 220,Single,Not purchased
31,23,Female,Self Employed,High End,125 to 180,Single,Purchased
32,59,Female,Professional,Low End,125 to 180,Single,Not purchased
33,60,Female,Unemployed,High End,No Bike,Married,Not purchased
34,43,Male ,Unemployed,High End,No Bike,Single,Not purchased
35,27,Female,Student,Average,125 to 180,Complicated,Purchased
36,21,Female,Unemployed,High End,220 and Above,Committed,Not purchased
37,24,Female,Student,High End,220 and Above,Single,Purchased
38,53,Male ,Self Employed,High End,180 to 220,Committed,Not purchased
39,49,Male ,Student,High End,180 to 220,Single,Not purchased
40,22,Female,Self Employed,Low End,Below 125,Single,Not purchased
41,48,Female,Self Employed,High End,220 and Above,Committed,Not purchased
42,49,Male ,Professional,Low End,180 to 220,Committed,Not purchased
43,19,Male ,Professional,High End,125 to 180,Married,Not purchased
44,25,Male ,Self Employed,Low End,Below 125,Committed,Purchased
45,50,Male ,Student,High End,No Bike,Single,Purchased
46,23,Male ,Student,Average,220 and Above,Committed,Purchased
47,42,Male ,Student,Low End,180 to 220,Single,Purchased
48,24,Male ,Student,Low End,Below 125,Committed,Purchased
49,47,Female,Professional,Average,Below 125,Complicated,Not purchased
50,29,Female,Student,Low End,No Bike,Complicated,Purchased
51,38,Female,Unemployed,Low End,Below 125,Married,Not purchased
52,43,Female,Unemployed,Low End,220 and Above,Complicated,Not purchased
53,19,Female,Professional,High End,125 to 180,Married,Not purchased
54,37,Male ,Unemployed,High End,125 to 180,Complicated,Purchased
55,25,Female,Unemployed,Low End,125 to 180,Single,Not purchased
56,18,Female,Professional,Average,180 to 220,Married,Purchased
57,31,Female,Unemployed,Average,180 to 220,Committed,Not purchased
58,52,Female,Self Employed,Average,125 to 180,Committed,Not purchased
59,19,Male ,Professional,High End,No Bike,Single,Purchased
60,38,Female,Professional,High End,Below 125,Complicated,Not purchased
61,52,Female,Professional,High End,125 to 180,Married,Not purchased
62,50,Male ,Unemployed,High End,No Bike,Committed,Not purchased
63,50,Male ,Student,High End,Below 125,Committed,Not purchased
64,58,Male ,Unemployed,Low End,125 to 180,Complicated,Purchased
65,35,Female,Self Employed,Low End,Below 125,Committed,Not purchased
66,29,Female,Professional,Low End,Below 125,Committed,Purchased
67,26,Female,Student,Low End,220 and Above,Married,Not purchased
68,22,Male ,Self Employed,Low End,180 to 220,Complicated,Not purchased
69,51,Female,Unemployed,Average,No Bike,Married,Not purchased
70,34,Female,Professional,High End,220 and Above,Married,Not purchased
71,18,Female,Self Employed,High End,125 to 180,Single,Not purchased
72,31,Male ,Self Employed,Low End,180 to 220,Single,Not purchased
73,37,Male ,Professional,Low End,180 to 220,Committed,Not purchased
74,21,Male ,Professional,High End,Below 125,Complicated,Not purchased
75,40,Female,Self Employed,Average,180 to 220,Committed,Purchased
76,25,Female,Self Employed,Low End,Below 125,Committed,Purchased
77,29,Male ,Unemployed,High End,Below 125,Married,Not purchased
78,41,Male ,Student,Average,No Bike,Single,Purchased
79,55,Female,Unemployed,High End,220 and Above,Complicated,Not purchased
80,35,Female,Unemployed,Average,No Bike,Complicated,Not purchased
81,38,Male ,Self Employed,Average,180 to 220,Committed,Purchased
82,57,Male ,Student,High End,125 to 180,Committed,Not purchased
83,50,Female,Unemployed,High End,Below 125,Complicated,Not purchased
84,49,Male ,Professional,Low End,No Bike,Married,Not purchased
85,21,Female,Student,Average,220 and Above,Married,Purchased
86,20,Male ,Student,Average,Below 125,Married,Not purchased
87,37,Male ,Unemployed,Low End,125 to 180,Single,Not purchased
88,22,Male ,Student,Low End,180 to 220,Single,Not purchased
89,42,Female,Self Employed,Average,125 to 180,Single,Not purchased
90,51,Female,Unemployed,Average,No Bike,Complicated,Not purchased
91,51,Male ,Professional,Average,Below 125,Committed,Not purchased
92,27,Male ,Unemployed,High End,180 to 220,Committed,Not purchased
93,42,Female,Unemployed,Low End,220 and Above,Complicated,Not purchased
94,46,Male ,Self Employed,Low End,220 and Above,Married,Purchased
95,23,Male ,Professional,Average,125 to 180,Committed,Not purchased
96,56,Female,Professional,High End,180 to 220,Committed,Not purchased
97,50,Male ,Professional,Average,No Bike,Committed,Purchased
98,46,Female,Unemployed,High End,125 to 180,Complicated,Not purchased
99,49,Female,Self Employed,High End,No Bike,Committed,Not purchased
100,35,Male ,Professional,Average,125 to 180,Married,Purchased
101,59,Male ,Student,Average,No Bike,Committed,Not purchased
102,30,Male ,Professional,Average,No Bike,Married,Not purchased
103,18,Female,Student,Low End,125 to 180,Complicated,Purchased
104,22,Male ,Student,Average,Below 125,Complicated,Not purchased
105,48,Male ,Professional,High End,125 to 180,Complicated,Purchased
106,60,Female,Unemployed,Low End,180 to 220,Married,Not purchased
107,51,Male ,Student,Low End,125 to 180,Single,Not purchased
108,47,Female,Self Employed,Low End,220 and Above,Married,Not purchased
109,30,Male ,Professional,High End,180 to 220,Committed,Purchased
110,31,Male ,Professional,Average,Below 125,Married,Not purchased
111,24,Male ,Unemployed,High End,180 to 220,Committed,Not purchased
112,37,Female,Unemployed,Average,125 to 180,Married,Not purchased
113,46,Male ,Professional,High End,180 to 220,Complicated,Not purchased
114,45,Female,Unemployed,Average,No Bike,Married,Not purchased
115,39,Female,Professional,Average,220 and Above,Complicated,Not purchased
116,19,Female,Student,High End,125 to 180,Complicated,Purchased
117,34,Male ,Professional,Average,180 to 220,Single,Not purchased
118,48,Female,Unemployed,High End,No Bike,Married,Not purchased
119,52,Male ,Student,Average,Below 125,Committed,Purchased
120,41,Male ,Self Employed,High End,No Bike,Single,Purchased
121,21,Male ,Self Employed,Low End,220 and Above,Committed,Purchased
122,33,Male ,Unemployed,Average,220 and Above,Married,Not purchased
123,19,Male ,Student,Average,180 to 220,Single,Not purchased
124,57,Female,Professional,Low End,125 to 180,Married,Not purchased
125,20,Female,Self Employed,Average,125 to 180,Committed,Not purchased
126,27,Female,Self Employed,Low End,220 and Above,Single,Not purchased
127,46,Female,Unemployed,High End,125 to 180,Complicated,Not purchased
128,20,Male ,Professional,Average,No Bike,Married,Not purchased
129,25,Male ,Self Employed,High End,No Bike,Complicated,Not purchased
130,55,Female,Unemployed,High End,Below 125,Committed,Not purchased
131,23,Female,Unemployed,Low End,180 to 220,Married,Not purchased
132,58,Female,Unemployed,High End,No Bike,Committed,Not purchased
133,57,Female,Unemployed,Low End,No Bike,Married,Not purchased
134,27,Female,Student,Average,Below 125,Complicated,Purchased
135,43,Female,Self Employed,Low End,180 to 220,Married,Not purchased
136,41,Male ,Student,Average,180 to 220,Single,Purchased
137,57,Female,Unemployed,High End,125 to 180,Committed,Not purchased
138,34,Female,Student,Average,180 to 220,Complicated,Purchased
139,22,Female,Professional,Average,180 to 220,Committed,Not purchased
140,20,Male ,Self Employed,Average,220 and Above,Married,Purchased
141,24,Female,Unemployed,Low End,Below 125,Complicated,Not purchased
142,60,Male ,Self Employed,Average,125 to 180,Complicated,Not purchased
143,29,Female,Self Employed,Low End,Below 125,Committed,Purchased
144,36,Female,Unemployed,Average,No Bike,Complicated,Not purchased
145,58,Male ,Professional,High End,220 and Above,Single,Not purchased
146,33,Male ,Unemployed,Average,Below 125,Committed,Not purchased
147,30,Male ,Unemployed,Average,220 and Above,Single,Not purchased
148,44,Male ,Professional,Low End,220 and Above,Committed,Purchased
149,56,Male ,Professional,Average,No Bike,Committed,Not purchased
150,48,Female,Professional,Low End,220 and Above,Single,Not purchased
151,32,Male ,Professional,Average,125 to 180,Committed,Purchased
152,30,Female,Student,Low End,125 to 180,Complicated,Not purchased
153,54,Male ,Self Employed,High End,No Bike,Committed,Not purchased
154,57,Female,Unemployed,Low End,Below 125,Single,Not purchased
155,51,Male ,Unemployed,High End,Below 125,Committed,Not purchased
156,58,Female,Unemployed,High End,125 to 180,Complicated,Not purchased
157,58,Male ,Student,High End,180 to 220,Married,Purchased
158,54,Male ,Unemployed,Average,No Bike,Committed,Purchased
159,41,Male ,Self Employed,Average,180 to 220,Committed,Not purchased
160,60,Male ,Unemployed,Average,180 to 220,Single,Purchased
161,26,Male ,Unemployed,Average,180 to 220,Complicated,Purchased
162,52,Female,Unemployed,Average,125 to 180,Married,Not purchased
163,24,Female,Student,High End,180 to 220,Complicated,Purchased
164,50,Female,Professional,Low End,Below 125,Single,Not purchased
165,36,Female,Professional,Low End,125 to 180,Single,Not purchased
166,27,Female,Self Employed,High End,220 and Above,Married,Not purchased
167,37,Male ,Self Employed,Low End,220 and Above,Complicated,Not purchased
168,51,Female,Unemployed,Low End,No Bike,Single,Not purchased
169,52,Male ,Student,High End,Below 125,Single,Purchased
170,31,Female,Student,High End,No Bike,Married,Purchased
171,59,Female,Unemployed,High End,125 to 180,Single,Not purchased
172,52,Male ,Professional,Average,Below 125,Married,Not purchased
173,42,Female,Professional,Average,No Bike,Single,Not purchased
174,36,Male ,Unemployed,Low End,180 to 220,Committed,Not purchased
175,58,Male ,Student,Low End,125 to 180,Married,Not purchased
176,44,Male ,Student,Low End,No Bike,Single,Not purchased
177,50,Male ,Self Employed,Low End,125 to 180,Complicated,Purchased
178,38,Female,Student,Average,220 and Above,Married,Not purchased
179,50,Male ,Student,Average,Below 125,Committed,Purchased
180,54,Male ,Student,Low End,180 to 220,Single,Not purchased
181,41,Female,Self Employed,Low End,Below 125,Complicated,Not purchased
182,46,Male ,Self Employed,Low End,180 to 220,Complicated,Not purchased
183,37,Male ,Professional,High End,Below 125,Married,Purchased
184,27,Male ,Professional,High End,Below 125,Committed,Purchased
185,42,Female,Unemployed,Low End,Below 125,Single,Not purchased
186,27,Male ,Self Employed,Average,125 to 180,Married,Purchased
187,53,Female,Self Employed,Average,125 to 180,Committed,Not purchased
188,30,Female,Self Employed,Low End,No Bike,Committed,Not purchased
189,32,Female,Self Employed,Average,125 to 180,Committed,Not purchased
190,25,Male ,Professional,Average,180 to 220,Committed,Not purchased
191,18,Male ,Self Employed,Average,Below 125,Complicated,Purchased
192,40,Male ,Professional,Average,180 to 220,Committed,Not purchased
193,20,Male ,Student,High End,No Bike,Complicated,Not purchased
194,23,Female,Professional,High End,Below 125,Married,Purchased
195,60,Male ,Self Employed,Low End,220 and Above,Committed,Purchased
196,33,Female,Unemployed,Low End,125 to 180,Complicated,Not purchased
197,31,Female,Professional,Average,No Bike,Committed,Purchased
198,37,Female,Professional,Low End,No Bike,Married,Not purchased
199,39,Male ,Professional,Low End,Below 125,Complicated,Not purchased
200,44,Male ,Student,Average,180 to 220,Single,Purchased
201,22,Male ,Self Employed,Average,Below 125,Married,Not purchased
202,25,Female,Self Employed,Average,Below 125,Single,Not purchased
203,41,Female,Professional,High End,No Bike,Single,Not purchased
204,23,Female,Student,Average,Below 125,Complicated,Not purchased
205,30,Male ,Self Employed,High End,180 to 220,Single,Purchased
206,29,Female,Professional,Low End,180 to 220,Committed,Purchased
207,33,Female,Student,Average,180 to 220,Committed,Purchased
208,42,Male ,Self Employed,Average,125 to 180,Complicated,Purchased
209,50,Male ,Unemployed,Average,125 to 180,Married,Not purchased
210,58,Female,Professional,Low End,220 and Above,Complicated,Not purchased
211,41,Female,Self Employed,High End,220 and Above,Married,Not purchased
212,37,Male ,Professional,High End,180 to 220,Complicated,Purchased
213,51,Female,Professional,Low End,125 to 180,Complicated,Not purchased
214,46,Male ,Student,Low End,220 and Above,Committed,Not purchased
215,58,Female,Unemployed,High End,Below 125,Single,Not purchased
216,51,Female,Professional,Average,Below 125,Committed,Not purchased
217,35,Female,Self Employed,Average,No Bike,Complicated,Not purchased
218,39,Female,Professional,Low End,No Bike,Single,Not purchased
219,18,Male ,Student,High End,180 to 220,Committed,Purchased
220,49,Female,Professional,Low End,125 to 180,Complicated,Not purchased
221,52,Female,Professional,Average,180 to 220,Married,Not purchased
222,58,Male ,Professional,High End,180 to 220,Complicated,Not purchased
223,56,Female,Self Employed,Low End,Below 125,Single,Not purchased
224,52,Female,Unemployed,Low End,220 and Above,Single,Not purchased
225,25,Female,Self Employed,Low End,No Bike,Committed,Purchased
226,53,Male ,Self Employed,High End,No Bike,Married,Purchased
227,23,Female,Student,Low End,125 to 180,Committed,Not purchased
228,49,Female,Self Employed,Average,Below 125,Married,Not purchased
229,20,Male ,Student,Average,No Bike,Complicated,Not purchased
230,50,Male ,Self Employed,High End,No Bike,Complicated,Not purchased
231,44,Female,Self Employed,Low End,125 to 180,Married,Not purchased
232,47,Female,Professional,High End,No Bike,Married,Not purchased
233,37,Male ,Professional,Low End,180 to 220,Single,Purchased
234,37,Male ,Unemployed,Average,180 to 220,Married,Not purchased
235,24,Male ,Student,Low End,220 and Above,Complicated,Not purchased
236,36,Male ,Self Employed,Low End,220 and Above,Married,Not purchased
237,23,Female,Student,High End,Below 125,Single,Purchased
238,24,Female,Student,High End,220 and Above,Married,Not purchased
239,36,Female,Professional,Average,125 to 180,Committed,Purchased
240,55,Female,Professional,Low End,No Bike,Married,Not purchased
241,39,Female,Unemployed,High End,No Bike,Complicated,Purchased
242,59,Female,Professional,Low End,No Bike,Married,Not purchased
243,52,Female,Unemployed,Low End,Below 125,Complicated,Not purchased
244,52,Female,Professional,High End,No Bike,Married,Not purchased
245,30,Male ,Professional,High End,125 to 180,Complicated,Purchased
246,39,Female,Professional,High End,No Bike,Single,Purchased
247,25,Female,Self Employed,Average,No Bike,Committed,Not purchased
248,31,Female,Unemployed,Low End,220 and Above,Committed,Purchased
249,30,Female,Self Employed,Average,220 and Above,Married,Purchased
250,59,Female,Self Employed,Low End,220 and Above,Married,Not purchased
251,40,Female,Student,High End,125 to 180,Committed,Not purchased
252,39,Female,Student,Low End,220 and Above,Single,Not purchased
253,58,Female,Professional,Average,Below 125,Complicated,Not purchased
254,49,Female,Self Employed,High End,No Bike,Single,Not purchased
255,19,Male ,Unemployed,High End,220 and Above,Single,Not purchased
256,50,Male ,Unemployed,Average,220 and Above,Single,Not purchased
257,50,Male ,Professional,Low End,180 to 220,Single,Purchased
258,55,Female,Self Employed,High End,Below 125,Single,Not purchased
259,57,Female,Professional,Average,Below 125,Single,Not purchased
260,29,Male ,Unemployed,High End,220 and Above,Committed,Not purchased
261,54,Male ,Professional,Low End,180 to 220,Committed,Purchased
262,51,Female,Professional,Average,No Bike,Married,Not purchased
263,53,Female,Professional,High End,220 and Above,Single,Not purchased
264,39,Female,Student,Average,Below 125,Married,Not purchased
265,25,Male ,Unemployed,Low End,180 to 220,Single,Not purchased
266,42,Male ,Unemployed,High End,125 to 180,Complicated,Not purchased
267,51,Female,Unemployed,High End,No Bike,Single,Not purchased
268,43,Female,Unemployed,High End,180 to 220,Complicated,Not purchased
269,58,Male ,Student,Low End,No Bike,Single,Not purchased
270,58,Male ,Self Employed,High End,125 to 180,Single,Not purchased
271,29,Female,Self Employed,Low End,220 and Above,Committed,Purchased
272,59,Male ,Unemployed,Average,180 to 220,Married,Not purchased
273,34,Male ,Professional,Low End,125 to 180,Married,Purchased
274,25,Male ,Unemployed,High End,220 and Above,Committed,Purchased
275,52,Male ,Unemployed,Average,No Bike,Committed,Purchased
276,36,Female,Student,Average,No Bike,Complicated,Purchased
277,45,Male ,Self Employed,Low End,125 to 180,Committed,Not purchased
278,53,Male ,Professional,Average,220 and Above,Married,Not purchased
279,49,Male ,Student,Low End,180 to 220,Complicated,Purchased
280,48,Female,Self Employed,Low End,180 to 220,Committed,Not purchased
281,26,Male ,Unemployed,Low End,Below 125,Single,Purchased
282,59,Male ,Student,High End,220 and Above,Single,Purchased
283,24,Male ,Unemployed,Low End,No Bike,Committed,Purchased
284,55,Male ,Professional,Average,Below 125,Single,Not purchased
285,22,Female,Self Employed,High End,Below 125,Complicated,Not purchased
286,34,Male ,Self Employed,High End,125 to 180,Married,Purchased
287,43,Female,Professional,Low End,Below 125,Committed,Not purchased
288,39,Female,Unemployed,Low End,125 to 180,Committed,Not purchased
289,46,Female,Unemployed,Low End,No Bike,Committed,Not purchased
290,38,Male ,Professional,High End,No Bike,Complicated,Purchased
291,36,Male ,Professional,Average,Below 125,Single,Not purchased
292,36,Male ,Unemployed,Average,Below 125,Complicated,Not purchased
293,38,Male ,Self Employed,High End,125 to 180,Married,Purchased
294,46,Female,Self Employed,Low End,125 to 180,Single,Not purchased
295,49,Female,Unemployed,Low End,125 to 180,Single,Not purchased
296,37,Male ,Unemployed,Low End,125 to 180,Committed,Not purchased
297,44,Male ,Student,Low End,125 to 180,Complicated,Purchased
298,34,Male ,Unemployed,Average,125 to 180,Single,Not purchased
299,56,Female,Unemployed,Low End,Below 125,Single,Not purchased
300,53,Male ,Professional,Low End,No Bike,Married,Purchased
301,51,Female,Self Employed,Average,125 to 180,Committed,Not purchased
302,40,Male ,Unemployed,Low End,Below 125,Committed,Not purchased
303,42,Male ,Self Employed,Low End,125 to 180,Complicated,Not purchased
304,57,Male ,Self Employed,Low End,Below 125,Committed,Purchased
305,21,Male ,Unemployed,Low End,180 to 220,Single,Purchased
306,46,Female,Unemployed,Average,180 to 220,Committed,Not purchased
307,27,Female,Professional,High End,180 to 220,Complicated,Not purchased
308,47,Male ,Student,Average,180 to 220,Committed,Not purchased
309,23,Female,Self Employed,Low End,125 to 180,Single,Not purchased
310,45,Female,Self Employed,Average,125 to 180,Complicated,Not purchased
311,29,Female,Self Employed,Low End,220 and Above,Single,Purchased
312,30,Male ,Professional,Low End,No Bike,Complicated,Purchased
313,48,Male ,Self Employed,High End,Below 125,Single,Not purchased
314,60,Male ,Unemployed,Low End,125 to 180,Committed,Not purchased
315,55,Female,Self Employed,Average,No Bike,Complicated,Not purchased
316,46,Female,Self Employed,Average,180 to 220,Committed,Not purchased
317,29,Female,Student,High End,180 to 220,Single,Not purchased
318,38,Male ,Unemployed,Average,125 to 180,Single,Not purchased
319,47,Female,Self Employed,Low End,No Bike,Single,Not purchased
320,49,Female,Professional,Average,220 and Above,Complicated,Not purchased
321,53,Female,Professional,High End,125 to 180,Committed,Not purchased
322,49,Female,Self Employed,Low End,No Bike,Married,Not purchased
323,57,Male ,Unemployed,High End,Below 125,Married,Not purchased
324,37,Male ,Professional,Low End,220 and Above,Complicated,Purchased
325,25,Female,Unemployed,Low End,220 and Above,Single,Purchased
326,34,Male ,Unemployed,Average,125 to 180,Complicated,Not purchased
327,30,Male ,Professional,High End,No Bike,Complicated,Not purchased
328,54,Male ,Unemployed,High End,No Bike,Married,Not purchased
329,42,Female,Unemployed,Low End,220 and Above,Complicated,Not purchased
330,45,Male ,Unemployed,High End,125 to 180,Complicated,Not purchased
331,23,Male ,Unemployed,High End,220 and Above,Complicated,Not purchased
332,48,Female,Professional,Low End,220 and Above,Complicated,Not purchased
333,19,Female,Unemployed,Low End,180 to 220,Married,Purchased
334,27,Female,Unemployed,Low End,180 to 220,Single,Purchased
335,42,Male ,Unemployed,Low End,125 to 180,Complicated,Not purchased
336,27,Male ,Student,High End,180 to 220,Single,Not purchased
337,37,Male ,Professional,Low End,Below 125,Committed,Not purchased
338,55,Female,Self Employed,Average,No Bike,Single,Not purchased
339,30,Female,Self Employed,Average,125 to 180,Single,Not purchased
340,52,Female,Self Employed,Average,No Bike,Committed,Not purchased
341,37,Female,Student,Average,220 and Above,Single,Purchased
342,60,Female,Unemployed,Average,Below 125,Committed,Not purchased
343,35,Male ,Professional,Low End,180 to 220,Committed,Purchased
344,52,Female,Self Employed,High End,220 and Above,Committed,Not purchased
345,22,Female,Student,Low End,125 to 180,Single,Purchased
346,33,Female,Self Employed,Low End,180 to 220,Complicated,Not purchased
347,43,Male ,Professional,Average,125 to 180,Single,Purchased
348,19,Male ,Unemployed,Average,No Bike,Complicated,Not purchased
349,36,Male ,Professional,High End,No Bike,Committed,Purchased
350,50,Male ,Student,Average,180 to 220,Married,Purchased
351,40,Female,Professional,Low End,220 and Above,Committed,Purchased
352,20,Female,Unemployed,High End,220 and Above,Committed,Purchased
353,44,Male ,Self Employed,High End,220 and Above,Complicated,Purchased
354,50,Male ,Student,Average,No Bike,Married,Not purchased
355,23,Male ,Self Employed,High End,180 to 220,Single,Not purchased
356,48,Female,Self Employed,Average,220 and Above,Committed,Not purchased
357,39,Female,Self Employed,High End,Below 125,Married,Purchased
358,25,Male ,Professional,Average,No Bike,Married,Not purchased
359,52,Male ,Professional,Low End,125 to 180,Complicated,Not purchased
360,50,Male ,Unemployed,Low End,No Bike,Married,Purchased
361,32,Female,Unemployed,Low End,180 to 220,Single,Purchased
362,40,Male ,Unemployed,Low End,Below 125,Single,Not purchased
363,25,Female,Student,Average,No Bike,Complicated,Purchased
364,53,Male ,Professional,High End,No Bike,Complicated,Not purchased
365,58,Female,Self Employed,Average,No Bike,Married,Not purchased
366,31,Male ,Professional,Average,180 to 220,Single,Purchased
367,43,Male ,Self Employed,High End,180 to 220,Single,Purchased
368,36,Female,Self Employed,Average,No Bike,Married,Purchased
369,21,Male ,Student,Average,220 and Above,Committed,Purchased
370,20,Male ,Student,Average,No Bike,Married,Not purchased
